标题	年份	类型	国家	时长	评分	人数	概括	链接
安娜成长篇 Анна: от 6 до 18	1993	纪录片/传记	法国 / 俄罗斯	-9999	8.7	294	　　看过奥斯卡最佳外语片《烈日灼身》的观众，很难忘记片中小女孩的可爱演出，她就是影片导演尼基塔．米亥科夫的小女儿娜迪亚．米亥科夫。娜迪亚有一个酷似她的姐姐安娜，在1980年时只有六岁，当时其父已为国际知名导演，但在俄国拍摄私人的家庭电影仍属违法。尼基塔以拍电影时剩下的零碎底片偷偷拍了这部纪录片女儿成长的电影，前后历经十二年。片中并插入大量新闻片，政治宣传片和尼基塔被禁演的影片片段，经导演自己以诗意的旁白组织成一部风格新颖的纪录片，表达了一个俄国导演对家园与国家的看法与感怀。	http://movie.douban.com/subject/1294389/	
地球脉动 Planet Earth	2006	纪录片	英国	-9999	9.7	14682	　　BBC曾经制作出《蓝色星球》的纪录片摄影团队，再次集结奉上了这部堪称难以超越的经典纪录片《地球脉动》。从南极到北极，从赤道到寒带，从非洲草原到热带雨林，再从荒凉峰顶到深邃大海，难以数计的生物以极其绝美的身姿呈现在世人面前。我们看到了Okavango洪水的涨落及其周边赖以生存的动物们的生存状态，看到了罕见的雪豹在漫天大雪中猎食的珍贵画面；看到了冰原上企鹅、北极熊、海豹等生物相互依存的严苛情景，也见识了生活在大洋深处火山口高温环境下的惊奇生物。当然还有地球各地的壮观美景与奇特地貌，无私地将其最为光艳的一面展现出来。　　本片共计11集，期间还采用美国军方发明的空中摄影机拍摄，可从一公里外拍摄某物体的超清晰特写。	http://movie.douban.com/subject/1871906/	
海豚湾 The Cove	2009	纪录片	美国	92	9.3	141564	　　日本和歌山县太地，是一个景色优美的小渔村，然而这里却常年上演着惨无人道的一幕。每年，数以万计的海豚经过这片海域，他们的旅程却在太地戛然而止。渔民们将海豚驱赶到靠近岸边的一个地方，来自世界各地的海豚训练师挑选合适的对象，剩下的大批海豚则被渔民毫无理由地赶尽杀绝。这些屠杀，这些罪行，因为种种利益而被政府和相关组织所隐瞒。　　理查德•贝瑞（Richard O’Barry）年轻时曾是一名海豚训练师，他所参与拍摄电影《海豚的故事》备受欢迎。但是，一头海豚的死让理查德的心灵受到强烈的震撼。从此，他致力于拯救海豚的活动。不顾当地政府和村民百般阻挠，他和他的摄影团队想方设法潜入太地的海豚屠杀场，只为将罪行公之于众，拯救人类可爱的朋友……　　本片荣获2010年第82届奥斯卡金像奖最佳纪录长片奖。	http://movie.douban.com/subject/3442220/	
美丽中国 Wild China	2008	纪录片	英国 / 中国	-9999	9.4	23729	　　从灯火通明的大都市，到人烟稀少的深山老林；从广阔无垠的大草原，到人迹罕至的沙漠戈壁；从长年积雪的高海拨山区到一望无际的平原；从浩瀚大地到碧海蓝天……中国，这片古老而又神奇的土地，囊括了多种特质的地貌，哺育着各族儿女，也孕育着各类珍奇野兽，奇花异草。这次，通过镜头，我们去探访散落在这片土地上的美丽奇景。沿着长江流域，去看喀斯特地貌造就的奇石怪林；去云南的热带雨林，寻找亚洲野象、滇金丝猴；来到青藏高原，奔赴内蒙草地，攀爬山脉，眺望西部边陲。这里，是你我熟悉又陌生的美丽中国。　　本片是CCTV和BBC第一次联合摄制的作品，历时4年拍摄，使用了航拍、红外、高速、延时和水下等先进摄影技术。一共六集，分别为《富饶华南》、《彩云之南》、《青藏高原》、《长城以外》、《龙之疆域》和《喧闹海岸》。	http://movie.douban.com/subject/3077948/	
家园 Home	2009	纪录片	法国	95	9.2	30834	　　经过四十亿年的漫长演变，地球变成一个物种繁多、资源丰富、奇特美丽的蓝色星球。然而自人类出现以来，我们只用了二十万年的时间，便将地球的宝贵资源消耗殆尽。珍稀物种灭绝，原始资源奇缺，污染日益严重，人类以及地球的明天将何去何从？　　导演扬恩•亚瑟经过15年的筹备，历访50多个国家拍成此片。本片素材长达488小时，拍摄周期为21个月，共动用88,000名员工，从澳洲海底的大堡礁到非洲肯亚高原的乞力马扎罗山；从亚玛逊热带雨林到戈壁沙漠；从美国德萨斯州连绵不断的棉花田到中国上海、深圳的工业城镇。影片以上帝的俯瞰视角向世人展现地球的绝美以及日趋危急的现状。明天并不遥远，但我们该选择怎样的未来？	http://movie.douban.com/subject/3018123/	
地球 Earth	2007	纪录片	英国 / 德国 / 美国	90	9.4	4560	　　电视系列片&quot;行星地球&quot;(2006)的电影版本，拍摄了几个动物家庭的迁徙路线。　　一部由英国BBC和德国联合制作的关于地球、大自然的纪录片，用了将近3年的时间，通过对地球生命的神秘实录，通过表现大自然美丽景象与野生动物纯粹的生死之搏的真实纪录，再配合柏林爱乐乐团的美妙配乐，将地球的魅力在大银幕上毫无保留的完美呈现出来，旨在呼吁人们保护环境。	http://movie.douban.com/subject/2264077/	
北极故事 Arctic Tale	2007	纪录片/家庭	美国	96	9.1	4070	　　影片展现了在寒冷的北极，冰雪世界中的生命奇迹。　　小北极熊Nanu在妈妈的带领下，学习求生的技能，逃避天敌的骚扰，同时也要摸索着应对全新环境的挑战；小海象Seela是族群繁衍中来之不易的结晶，有妈妈和姨妈的双重保护，但是猝不及防的环境变化，让整个海象族群面临巨大的威胁。　　北极圈动物的后代和祖辈一样生息繁衍，但是，她们将面临一个截然不同的未来，如果，我们人类再不做点什么的话。	http://movie.douban.com/subject/2111619/	
深蓝 Deep Blue	2003	纪录片	英国 / 德国	83	9.1	3746	　　作为“蓝色星球”系列纪录片之一，本片由英国BBC自然历史专题小组拍摄，剧组人员潜到海洋5000米深处，用清晰绝美的镜头为我们呈现了世界各地大约200个不同地方的海洋生命，展现了奇幻耽美的海底奇观。　　影片围绕一只名叫深蓝的抹香鲸展开了深海的故事。深蓝原本快乐无忧地生活在海底深渊，3岁时遭遇了一次7.2级的强震，他幸免于难，但却永远失去了一起玩耍的伙伴们，之后他随着整个家族开始了流亡之旅。一次，他和怀有身孕的母亲遭遇到逆戟鲸的围攻，虽然它在战斗中受伤，但却拥有了一个妹妹，最重要的是，他见到了自己的偶像，这让深蓝充满力量去面对未知的海洋。深蓝在与凶残敌人的勇敢搏斗中逐渐成长，但是他却阻止不了人类对海洋的侵略，最爱的母亲被捕鲸船捕杀身亡。深蓝独自寻找未来，他穿越世界各地的深海，战胜了无数对手，赢得了女孩们的爱慕，成为海洋的勇士。年老的深蓝在迁徙中，再次遇到了...	http://movie.douban.com/subject/1418052/	
蓝色星球 The Blue Planet	2001	纪录片	英国	-9999	9.4	4489	　　蓝色星球」是历年来首套全面探索海洋世界的自然历史专辑。　　由BBC自然历史名主持人戴维艾登堡录精采旁白,史诗般的海洋全纪录-独家拍摄的珍贵画面,让您见识海洋最恐怖与最具魅力的一面,更揭开它最隐藏的秘密。本节目带您进入令人叹为观止的美丽海洋世界,探索新的物种,造访无人所至的生态,并亲眼目睹从未在镜头前出现过的求生实录。　　本片由奥斯卡提名电影配乐大师乔治芬顿 (安娜与国王,甘地,危险关系)创作配乐,BBC交响乐团演奏。卓越的影音技术结合,将dvd带领至高质量影音新境界,值得永久推荐珍藏。　　Episode 1 蓝色星球 The Blue Planet 大部分海洋领域仍然隐身在未为人知的神秘面纱中。本集将会综观全系列，介绍海洋的不同范畴，完全揭露海洋的规模、力量与复杂性。探索海洋运作的物理与生物力量，并解释如何影响生命聚集的地理位置。　　Episode 2 幽暗...	http://movie.douban.com/subject/1325007/	
迁徙的鸟 Le peuple migrateur	2001	纪录片	法国 / 德国 / 意大利 / 西班牙 / 瑞士 Switzerland	98	9.1	42283	　　当鸟儿用羽翼去实现梦想，翱翔在我们永远无法凭借自身企及的天空，人类又该赋予他们怎样的赞叹呢？　　“鸟的迁徙是一个关于承诺的故事，一种对于回归的承诺。”雅克·贝汉以这样一句话带我们踏上了鸟与梦飞行之旅。毫无疑问，[迁徙的鸟]直接界定了世界顶级纪录片“获取真实”的标准——前后共600多人参与拍摄，历时3年多、耗资4000多万美元，景地遍及全球50多个国家和地区，记录胶片长达460多公里。这部动用了17个世界上最优秀的飞行员和两个科学考察队的电影甫一出世，就引起轰动。短短三个星期内就有250多万法国人为它走进影院，飞越1200公里的大天鹅对生命的坚持，在漫天风沙中追寻出路的沙丘鹤、在冰天雪地下与海鸦对抗到底的企鹅……尽管当中也有失败气馁，也有悬崖边的木头木脑，也有来自人类贪欲的窥视。　　除了简单的说明，整部影片不再有言语。本片的主角是憨态可掬，形态各异的鸟。他...	http://movie.douban.com/subject/1292281/	
