标题	年份	类型	国家	时长	评分	人数	概括	链接
上学路上 Sur le chemin de l&#39;école	2013	纪录片	法国	75	8.6	74	　　纪录片《逐梦上学路》从肯亚到摩洛哥、阿根廷到印度，见证世界各地的偏乡孩子，克服艰险万分的上学路。　　这些小英雄每天必须面对危机密布的草原或山区、毒蛇勐兽的威胁或身体上的障碍，花上三四个小时的路程赶赴学校，然而再大的困难和挑战，都无法阻止他们上学的大大渴望！　　如此严苛的求学过程，就是一场象徵决心的成年礼，对教育的极度渴望帮助他们克服所有障碍，让人从中见识到强大动人、震撼人心的人性精神！	http://movie.douban.com/subject/24872615/	
对话索尔仁尼琴 Узел. Беседы с Солженицыным	2000	纪录片	俄罗斯	91	8.9	283	　　这幅两部分组成的，唤起回忆的SOLZHENITSYN的肖像，是导演ALEXANDER SOKUROV通过两段充足的，和SOLZHENITSYN与他的夫人的谈话。来解悟这位盛誉国际的作家的生命历程。　　这并不是一部简单的传记电影，相反的，电影着力汇聚于SOLZHENITSYN对苏维埃的探讨：它的文学，传统，历史和它的语言。通过作家个人一种对俄国的宏观的综述，俄罗斯这片大地传奇的肖像裸呈在我们面前。	http://movie.douban.com/subject/2237464/	
牛铃之声 워낭소리	2008	纪录片	韩国	79	8.7	1485	　　崔益钧和李三顺是一对生活在韩国京北山区中的老夫妇，年届耄耋的他们仍无法放下手中的活计，终日往返小家和田地之间。相比能说会道且经常抱怨的老婆，崔益钧显得沉默寡言。他童年时一条腿遭受枪伤，导致行动不便，农活更成为一大难题。幸亏一头老黄牛常伴左右，四十多年来，老黄牛不仅帮夫妇俩分担大部分劳动，还使他们得以供子女上学，崔益钧老人对黄牛疼爱有加，甚至胜过妻子。春去秋来，烈日寒霜，时间在重复中缓缓流淌。转眼经年，夫妇俩年事已高，步履蹒跚，而操劳多年的老黄牛也即将走到生命的尽头……　　本片荣获第13届釜山国际电影节最佳纪录片奖。	http://movie.douban.com/subject/3326761/	
河流与潮汐 Rivers and Tides	2001	纪录片	德国 / 芬兰 / 英国 / 加拿大	90	9.3	319	　　IMDB 排名第七位的记录片(目前8.3分)。　　这部纪录片是关于英国艺术家安迪.高兹沃斯（Andy Goldsworthy）的故事。影片一开头，安迪就直截了当的告诉我们，他想要处理的不仅是空间概念中存在的河流形象，同时也想把时间的意涵加入，让河真正在流动，反应出“河流”的本质。实际上在他的艺术作品中，“时间”可以说是是横贯一切作品的主轴，而反应自然表象下的本质则是一贯的主题，所以他处理的题材，不仅止于河流，也扩及到在时间河流（the river of time）影响下的一切。安迪习惯将自己对周遭事物，不论是人、土地或景观的了解，转化成艺术作品。从他取法自然，取材于自然，最后也回归自然的整个创作过程，确实是相当「环境正确」的，是人与环境对话之后具体而美好的呈现。虽然终究是对自然的一种操弄，却是最不「人工」的那一种。其实用文字来描述他的创作是一种不得已的...	http://movie.douban.com/subject/1419362/	
牛粪	2010	纪录片	中国大陆	50	8.8	139	　　气温在零下40℃的高原上，牛粪是牧民家的温暖，牛粪是没有污染的燃料，是供神煨桑的原料，是驱暗的灯盏；牛粪可以用来建筑家园和围墙，是草原上的天然肥料、是治病的药物、是除垢的洗涤物，小孩子可以用牛粪做玩具，艺术家可以用牛粪制作佛像；从牛粪可以看出草原的好坏，从牛粪可以判断牦牛的病情。总之，牛粪是我们高原人所不可缺少的。但是我们离没有牛粪的生活越来越近，没有牛粪的日子也是我们自我遗失的日子，是给我们生活带来灾难的日子，也是我们与大自然为敌的日子。到那时，我们的慈悲心与因果观，善良的品性都将离我们远去。	http://movie.douban.com/subject/6138916/	
茶，一片树叶的故事	2013	纪录片	中国大陆	-9999	8.8	2746	　　茶，是中国最具代表性的文化之一。千百年来，茶文化几经传承、历练、蜕变，焕发出别样的光彩和魅力。本纪录片寻访了云南、福建、四川的产茶重地，记录下小小的一片那嫩叶是如何历经风雨被采下来，并经过复杂的工序和手艺焙制称清香四溢的坐上佳品。跟随摄制组的脚步，观众走访了中国、日本、印度、泰国、肯尼亚，领略了千百年来茶叶在亚非各国落地开花，所滋养出来的不同的文化底蕴。茶叶何止滋养了一方水土，更联络其从东方到西方、从远古到现代全人类的灵魂与情感。　　它本是一片绿叶，当与人类邂逅之后，它走过漫长的旅途，最终上升为一种对生活的热爱与信仰……	http://movie.douban.com/subject/25769356/	
嘿！小面	2013	纪录片	中国大陆	48	8.1	2115	　　在重庆，很多人的一天是从一碗面条开始的。重庆人离不开小面，小面的故事在民间广为流传，成为了我们这座城市的生活作料。11月21日，纪录片《嘿！小面》将在中央电视台CCTV-9与全国观众见面，成为首部深挖重庆小面的纪录片。今天，重庆晨报预先为你揭秘小面的故事。　　一座城市 人文小面味道深厚　　二娃、板凳、郭老大、老董、三姐、老太婆……这些犹如街坊邻居名字的面店，是纪录片编导曾磊这半年来最常出入的地方。　　“去年央视《舌尖上的中国》只提到过重庆的火锅。”在曾磊看来，对本地人来说，小面更加让人欲罢不能。街头巷尾随处可见小面馆，为什么不拍一部关于重庆小面的纪录片呢？　　曾磊向《舌尖上的中国》的编导说出了自己的想法，谁知，央视编导也是个来自重庆的小面迷，两人一拍即合。《嘿！小面》就这样被提上了拍摄议程。　　小面为何成为重庆最普及的大众美食？这是纪录片里第一个重头戏，曾磊戏...	http://movie.douban.com/subject/25775642/	
最后的黑胶唱片店 Sound It Out	2011	纪录片	英国	-9999	9.1	506	　　SOUND IT OUT is a documentary portrait of the very last surviving vinyl record shop in Teesside, in the North East of England. Starring Tom, Kelly, David, Daniel, 70,000 records and the good people of Teesside. A distinctive, funny and intimate film about men, obsession and the irreplaceable role music plays in our lives. High Fidelity with a Northern Accent.	http://movie.douban.com/subject/6113797/	
黑鲸 Blackfish	2013	纪录片	美国	83	8.4	2281	　　2010年2月24日，美国弗洛里达海洋世界发生了一起令人始料未及的惨剧。资深驯鲸员道恩·布兰切（Dawn Brancheau）突然被一只名为提里库姆的雄性虎鲸拖入水池，短短几分钟内这位拥有灿烂笑容与和善感染力的女性便被朝夕相处的虎鲸伙伴杀死。此案震惊全国，但从案件关系人的口中，却发现这一切绝非偶然，一连串令人齿冷的证据揭示了施暴者和遇难者彼此的悲剧真相。原本在海洋中快乐游弋玩耍的虎鲸家族，遭到了受利益驱动的商人和渔民的围捕。母子情深的虎鲸宝宝被迫和家人分开，从此生活在逼仄的水池内，日复一日重复单调的训练和表演。20世纪90年代，提里库姆曾在太平洋海洋之地制造过类似惨剧。然而关于它的“罪行”最终被商人们有意无意隐瞒下来。移籍海洋世界后，它迎来了以道恩为首的一群热爱海洋动物同时被高层隐瞒了诸多事故真相的驯鲸员。　　注定发生的终会发生，而类似悲剧难道还将继续...	http://movie.douban.com/subject/20415226/	
林来疯 Linsanity	2013	纪录片	美国	89	8.8	4809	　　2012年二月，在篮球场上刮起的一股“林来疯”席卷全球。整个赛季都表现不佳的纽约尼克斯队，出人意料的给了替补控卫林书豪一个证明自己的机会。林书豪抓住时机，不辱使命，以惊艳的表现成为当代NBA首发五场得分最多的球员，在全世界造成了极强的轰动。然而在“林来疯”现象之前，林书 豪的职业篮球之路却四处碰壁。不仅在申请大学时未能得到奖学金，还在NBA选秀中失望落选。　　华裔导演梁伊丹早在林书豪的名号尽人皆知以前就发现了他。他们跟随并拍摄下了林书豪作为亚裔球员，在NBA打拼的艰辛，并最终成为巨星的旅程。《林来疯》不只是一部为篮球迷拍摄的纪录片，更是一部激励人心的追梦记和奋斗史。	http://movie.douban.com/subject/20398972/	
