标题	年份	类型	国家	时长	评分	人数	概括	链接
扒手 Pickpocket	1959	剧情/犯罪	法国	75	8.5	4637	　　影片以日记的形式呈现。无所事事的年轻人米歇尔（马丁·拉萨尔 Martin LaSalle 饰）在赛马场目睹了一个小偷偷窃的全过程，他被小偷那自信优雅的手法所吸引遂即加入了偷窃的勾当。爱读书，坚持虚无主义哲学思想的米歇尔坚信偷窃是一种手指的芭蕾，一场完美的行窃就像一场精彩的行为艺术。米歇尔有一个久违的病重的母亲，在去探望的时候结识了一直照顾他母亲的邻居珍妮（玛莉卡·格林 Marika Green 饰），漂亮的珍妮唤醒了米歇尔心中沉睡已久的感情。米歇尔被警察盯住了，警长虽然三番五次的给了他改过自新的机会，但米歇尔依旧沉迷于他的“艺术”中无法自拔，很快，米歇尔被捕了。　　珍妮来狱中探望米歇尔，她向他袒露了自己的真情，米歇尔在泪水中猛然醒悟，当生命中还有所爱的人存在，生活就不会是一片虚无。	http://movie.douban.com/subject/1303559/	
迫在眉梢 John Q	2002	剧情/惊悚/家庭/犯罪	美国	116	8.5	24258	　　生活并不富裕的约翰·Q·阿奇伯德（丹泽尔·华盛顿 Denzel Washington饰）是个工厂里卖命工作的工人。为了养家糊口，两夫妻感情日渐淡漠而导致婚姻濒临破裂。更加雪上加霜的是，不幸降临在了他们9岁的儿子迈克尔身上。　　一天，迈克尔突然在棒球场上昏倒，当约翰·Q把儿子送到医院后才得知：儿子患有严重的先天性心脏病，需要进行心脏移植手术才能保住性命，这高昂的手术费用远远超过他的医疗保险范围。约翰·Q几经沟通未果，医院主管决定把他们从等待移植者的名单中剔除。此举激怒了作为父亲的约翰·Q。他愤然持枪闯入了医院的急诊室，绑架了无辜的医护人员和病人做人质，要求院方立刻为儿子动手术。这场挑战道德与法律的人性之战，并非想象得如此简单……	http://movie.douban.com/subject/1306439/	
断背山 Brokeback Mountain	2005	剧情/爱情/同性/家庭	美国 / 加拿大	134	8.4	223042	　　美国怀俄明州的西部，沉默寡言的农夫恩尼斯（希斯•莱杰饰）和热情开朗的牛仔杰克（杰克•吉伦希尔饰)一道被派到山上牧羊，那里人迹罕至，他们只有与羊群为伴，生活单调无味。一个天寒地冻的夜晚，在酒精与荷尔蒙的作用下，他们做了“不该做的事情”，也就此他们在断背山上度过了人生中最美好的时光。　　季节性放牧结束，迫于世俗压力，杰克和恩尼斯不舍地与对方分离并各自结婚生子。恩尼斯迎娶了自幼相识的阿尔玛，并有了两个可爱的女儿；杰克到了德州，在妻子露琳家族的扶植下事业顺利，还有了个儿子。虽然彼此真心相应，他们只能每年定期约会。一边知情的阿尔玛痛苦无比，而他们又无法满足一年只有几天的团聚。这时意外发生……	http://movie.douban.com/subject/1418834/	
那些年，我们一起追的女孩 那些年，我們一起追的女孩	2011	剧情/喜剧/爱情	台湾	110	8.2	392313	　　青春是一场大雨。即使感冒了，还盼望回头再淋它一次。人生就是不停的战斗，在还没有获得女神青睐时，左手永远都只是辅助！！！　　柯景腾（柯震东 饰）和他的一群好友，爱耍帅却老是情场失意的老曹（敖犬 饰），停止不了勃起所以叫勃起的勃起（鄢胜宇 饰），想用搞笑致胜却总是失败的该边（蔡昌 宪 饰），胖界的夺爱高手阿和（赦绍文 饰），从国中到高中，一直是不离不弃的死党。他们都对班花沈佳宜（陈妍希 饰）有着一种纠结的感情。一方面，他们瞧不起这种只会用功读书的女生，另一方面他们又为她的美好气质倾倒。因为学习成绩较差，柯景腾被老师安排坐在沈佳宜前面。因为他的一次英雄救美，她开始用强制的方式帮他补习功课。此事令其他兄弟羡慕嫉妒恨，但是大家都未说破。毕业后，柯景腾和沈佳宜在各自大学保持恋人般的联系。直到他举办自由格斗赛，事情才出现了变化…… 这一连串下，原本按兵不动的好友也都...	http://movie.douban.com/subject/4920528/	
荒岛余生 Cast Away	2000	剧情/冒险	美国	143	8.4	88386	　　查克（汤姆•汉克斯 Tom Hanks饰）任职于美国联邦快递，他系统工程师的职业决定了他的生活忙碌、自律、充满时间紧迫感。而查克总能把一切工作都井井有序的安排在每天的日程里，时间就在他的控制之下。他无暇顾及的只是女朋友凯莉（海伦•亨特 Helen Hunt 饰）。　　一场飞机失事改变了这一切。所有人都以为查克丧生于这场灾难中，然而事实上他活了下来，被困在一个荒无人烟的小岛上。荒岛上的生活就连吃喝都成问题，查克成为了现代鲁滨逊。但另一方面，他在这里却因为与大自然依存，与险境搏斗，与孤独作伴，与饥饿抗争，得到了以前从来没有领悟到的感受。当他回到现代社会时，人生有了新的开始。	http://movie.douban.com/subject/1298653/	
危情十日 Misery	1990	惊悚	美国	107	8.3	19169	　　畅销书作家保罗•谢尔顿（詹姆斯•凯恩 James Caan 饰）带着他的最新作品《米瑟莉》驱车走在回家的路上。途中他遭遇了可怕的暴风雪，轿车发生侧翻事故，保罗的双腿严重受伤，幸好被独居在附近山顶的护士安妮•威尔克斯（凯西•贝茨 Kathy Bates 饰）及时相救。安妮是保罗的头号书迷，在她的悉心照顾下，保罗的伤势日渐好转。但当她获悉喜爱的女主人公在保罗的新书中已经死亡，却难以遏制心中的怒火，通过各种手段向保罗施加报复，逐渐将作家逼向了绝望……　　影片根据恐怖小说大师斯蒂芬•金的同名小说改编，女主角凯西•贝茨凭借此片中的疯狂又反复无常的表演，成功斩获了第63届奥斯卡的最佳女演员奖。	http://movie.douban.com/subject/1292850/	
冥王星早餐 Breakfast on Pluto	2005	剧情/喜剧	爱尔兰 / 英国	128	8.3	8209	　　影片改编自英国布克奖提名作家Patrick McCabe的同名畅销小说《Breakfast On Pluto》，讲述20世纪70年代，异装癖男孩帕特里克·布莱登（希里安·墨菲 Cillian Murphy饰）在遭受社会舆论非议的环境下，从未改变自己，一直寻找母亲的故事。帕特里克在婴儿时就被父母抛弃，然后被神父（连姆·尼森 Liam Neeson饰）收养。可他从小就喜欢穿女生的衣服，幻想自己是个女孩儿。他不知道自己的母亲到底是谁，更无从得知她现在身处何处。等到帕特里克长大后，更是带着金色的假发，画着浓艳的女妆，他拒绝任何人去改变自己，可又怎知，这严酷的环境怎么能容忍这样的“异类”。一路上，帕特里克遇到形形色色的陌生人，一路寻找他的母亲。　　男主角希里安·墨菲凭借在《冥王星的早餐》中的出色演出，获得第63届金球奖喜剧/音乐类最佳男演员提名。	http://movie.douban.com/subject/1449845/	
逆光飞翔 逆光飛翔	2012	剧情/爱情	台湾	107	8.3	53637	　　音乐天分超凡的男孩裕翔（黄裕翔饰）弹得一手好琴，却天生失明。他坚持不参加任何比赛，只希望能拥有像普通人一样的生活。他第一次离家北上念书，遇见热爱跳舞却因故被迫放弃梦想的女孩小洁（张榕容饰）。裕翔能“看见”世界上不被旁人看见的美丽，从未放弃过这个世界。他就像一缕温暖的逆光照进了小洁冰冷的内心，而小洁则带领着裕翔经历了他从未尝试过的冒险。两个看似永不会相交的灵魂，却成为彼此遗失的那份力量。两人身后的那道耀眼的逆光，正温暖着、鼓舞着他们向梦想展翅飞翔。　　本片改编自真人真事，男主人公黄裕翔本色演出。女主角则由台北电影节、亚太影展双料影后张榕容饰演，两人延续前作的绝佳默契，演绎了一段好友之间互相鼓励、勇敢逐梦的历程。导演张荣吉凭借此片荣获2012年第49届台湾电影金马奖最佳新导演奖，女主角张榕容荣获2012年第49届台湾电影金马奖最佳女主角提名，男主角黄裕翔荣...	http://movie.douban.com/subject/10733376/	
桃姐	2011	剧情	香港	118	8.2	151322	　　桃姐（叶德娴 饰）是侍候了李家数十年的老佣人，把第二代的少爷罗杰（刘德华 饰）抚养成人。罗杰从事电影制片人，五十多岁了仍然独身，而桃姐也继续照顾罗杰，成为习惯……一日，桃姐如常到街市买菜，回寓所煲汤、做好满桌的饭菜，在等待从内地出差回家的罗杰，桃姐看着窗外的街景打发时间 ，不知不觉间却竟昏迷在地上……桃姐醒来时发现自己身在医院，桃姐是中风了！一边手臂不能活动自如，必须利用物理治疗尽量恢复活动能力。　　罗杰在百忙工作中为桃姐找合适老人院，期间巧遇昔日电影拍摄认识的草蜢哥（黄秋生 饰），桃姐出院来到老人院，环境陌生，院友怪异，桃姐强装镇定。罗杰工余常到老人院探桃姐，主仆闲话家常一如母子，仍保持互相揶揄调侃习惯，桃姐嘴硬心甜，院友羡慕。　　罗杰特意带桃姐参加电影首映礼，桃姐首次刻意打扮准备，取收藏已久的名贵衣服出发赴会；首映礼上桃姐大开眼界，更终有机会见到电影...	http://movie.douban.com/subject/5977835/	
英伦性丑闻 A Very British Sex Scandal	2007	剧情/同性	英国	85	8.6	1020	　　为了庆祝英国同志除罪化40年（意即将同志间私人的性行为不视为犯罪行为的《Wolfenden Report》，即《武芬登报告》，公开实施40年），英国电视台Channel 4特别开了一系列名为「Channel 4's gay season celebrating 40 years of legalisation of homosexuality」（简称《40 Years Out》）的特别节目，透过类戏剧丶电视电影和纪录片……等手法，为观众娓娓道来这40年来属于英国同志们的各式辛酸与欢笑。而打头阵的，则是以 1955年的Peter Wildeblood事件为核心的《A Very British Sex Scandal》，借由穿插访谈与旁白的仿纪录片手法，回顾对英国同志们而言最重要的关键时刻。	http://movie.douban.com/subject/2334000/	
